GEOID,total_pop
05001,18124
05003,20537
05005,41219
05007,258980
05009,37288
05011,10948
05013,5202
05015,27887
05017,10826
05019,22385
05021,15061
05023,25230
05025,8226
05027,23892
05029,20906
05031,105701
05033,62472
05035,49013
05037,16998
05039,7432
05041,11887
05043,18502
05045,122416
05047,17780
05049,12139
05051,98296
05053,18086
05055,44623
05057,22018
05059,33520
05061,13389
05063,37264
05065,13559
05067,17225
05069,70424
05071,26291
05073,6915
05075,16669
05077,9398
05079,13695
05081,12417
05083,21757
05085,72206
05087,16076
05089,16438
05091,43759
05093,42831
05095,7249
05097,8993
05099,8440
05101,7848
05103,24106
05105,10322
05107,19034
05109,10808
05111,24054
05113,20163
05115,63644
05117,8244
05119,393463
05121,17603
05123,26294
05125,118009
05127,10442
05129,7923
05131,127461
05133,17193
05135,17043
05137,12446
05139,39732
05141,16684
05143,228529
05145,78804
05147,6660
05149,21573
17001,66427
17003,6532
17005,16712
17007,53606
17009,6675
17011,33381
17013,4858
17015,14562
17017,12665
17019,209448
17021,33231
17023,15836
17025,13338
17027,37628
17029,51736
17031,5223719
17033,19088
17035,10865
17037,104200
17039,16042
17041,19714
17043,931743
17045,17539
17047,6507
17049,34174
17051,21724
17053,13398
17055,39127
17057,35418
17059,5157
17061,13218
17063,50509
17065,8221
17067,18112
17069,4009
17071,6884
17073,49464
17075,28169
17077,58551
17079,9598
17081,38169
17083,22069
17085,21834
17087,12602
17089,530839
17091,111061
17093,124626
17095,50999
17097,703619
17099,110401
17101,16189
17103,34527
17105,36324
17107,29207
17109,30875
17111,307789
17113,173219
17115,106512
17117,45719
17119,265670
17121,38084
17123,11794
17125,13778
17127,14430
17129,12367
17131,15693
17133,33936
17135,29009
17137,34426
17139,14703
17141,51328
17143,184463
17145,21384
17147,16427
17149,15754
17151,4249
17153,5611
17155,5746
17157,32546
17159,15881
17161,145275
17163,263463
17165,24231
17167,197661
17169,7064
17171,5047
17173,21832
17175,5500
17177,45433
17179,133852
17181,17127
17183,78407
17185,11573
17187,17338
17189,14155
17191,16487
17193,14025
17195,56396
17197,688697
17199,67299
17201,286174
17203,38817
20001,12630
20003,7852
20005,16363
20007,4733
20009,26791
20011,14702
20013,9664
20015,66468
20017,2645
20019,3367
20021,20331
20023,2677
20025,2053
20027,8142
20029,9060
20031,8296
20033,1780
20035,35591
20037,39108
20039,2881
20041,19004
20043,7736
20045,119319
20047,2925
20049,2562
20051,28878
20053,6293
20055,36957
20057,34484
20059,25563
20061,34895
20063,2619
20065,2545
20067,7616
20069,6037
20071,1200
20073,6156
20075,2616
20077,5673
20079,34555
20081,4047
20083,1842
20085,13318
20087,18888
20089,2916
20091,585502
20093,3932
20095,7470
20097,2526
20099,20367
20101,1642
20103,80042
20105,3097
20107,9635
20109,2810
20111,33299
20113,28630
20115,12032
20117,9798
20119,4261
20121,33127
20123,6222
20125,32970
20127,5566
20129,2838
20131,10104
20133,16125
20135,2955
20137,5486
20139,15882
20141,3603
20143,5902
20145,6709
20147,5408
20149,23545
20151,9582
20153,2509
20155,63101
20157,4686
20159,9762
20161,75296
20163,5118
20165,3102
20167,6977
20169,54977
20171,4949
20173,512064
20175,22692
20177,178284
20179,2506
20181,5966
20183,3663
20185,4214
20187,2063
20189,5686
20191,23208
20193,7824
20195,2858
20197,6888
20199,1575
20201,5525
20203,2143
20205,8780
20207,3170
20209,164345
40001,22113
40003,5857
40005,13874
40007,5415
40009,22621
40011,9634
40013,45759
40015,29342
40017,136710
40019,48406
40021,48599
40023,14886
40025,2189
40027,276733
40029,5618
40031,122561
40033,5929
40035,14493
40037,71160
40039,29209
40041,42112
40043,4918
40045,4072
40047,62190
40049,27823
40051,54733
40053,4418
40055,5943
40057,2721
40059,3847
40061,12704
40063,13460
40065,25384
40067,6223
40069,11041
40071,44880
40073,15618
40075,9001
40077,10495
40079,49909
40081,34854
40083,46044
40085,9933
40087,38634
40089,32966
40091,19819
40093,7718
40095,16376
40097,40980
40099,13875
40101,69084
40103,11411
40105,10383
40107,12115
40109,782051
40111,38889
40113,47311
40115,31566
40117,16428
40119,81512
40121,44382
40123,38358
40125,72000
40127,11119
40129,3708
40131,90814
40133,25071
40135,41359
40137,43983
40139,21121
40141,7515
40143,642781
40145,77850
40147,52001
40149,11432
40151,9127
40153,20967
