GEOID,hospitals,icu_beds
17005,1,0
17013,0,0
17027,1,4
17083,1,4
17117,2,0
17119,5,58
17133,0,0
17163,4,42
20091,8,110
20103,2,10
20107,0,0
20121,1,0
20209,2,145
29001,1,10
29003,0,0
29005,1,0
29007,1,0
29009,2,0
29011,1,4
29013,1,0
29015,0,0
29017,0,0
29019,2,110
29021,1,21
29023,2,14
29025,0,0
29027,1,0
29029,1,18
29031,2,32
29033,1,0
29035,0,0
29037,2,9
29039,1,0
29041,0,0
29043,0,0
29045,0,0
29047,3,172
29049,1,5
29051,2,25
29053,1,0
29055,0,0
29057,0,0
29059,0,0
29061,0,0
29063,0,0
29065,1,0
29067,0,0
29069,0,0
29071,2,13
29073,1,0
29075,1,0
29077,2,163
29079,1,0
29081,1,0
29083,1,8
29085,0,0
29087,0,0
29089,0,0
29091,2,12
29093,1,0
29095,9,274
29097,3,88
29099,2,67
29101,1,0
29103,0,0
29105,1,4
29107,1,2
29109,1,0
29111,0,0
29113,1,4
29115,1,0
29117,1,0
29119,0,0
29121,1,0
29123,1,0
29125,0,0
29127,1,8
29129,0,0
29131,0,0
29133,0,0
29135,0,0
29137,0,0
29139,0,0
29141,0,0
29143,0,0
29145,1,0
29147,1,0
29149,0,0
29151,0,0
29153,0,0
29155,1,7
29157,1,0
29159,1,9
29161,1,18
29163,1,0
29165,1,0
29167,1,8
29169,0,0
29171,1,0
29173,0,0
29175,1,8
29177,1,0
29179,0,0
29181,0,0
29183,4,39
29185,1,0
29186,1,0
29187,2,10
29189,9,468
29195,2,7
29197,0,0
29199,1,0
29201,1,12
29203,0,0
29205,0,0
29207,1,4
29209,0,0
29211,1,0
29213,1,18
29215,1,4
29217,1,6
29219,0,0
29221,1,0
29223,0,0
29225,0,0
29227,0,0
29229,0,0
29510,3,207
