GEOID,NAME,total_pop
29083,Henry County,21765
29011,Barton County,11850
29103,Knox County,3951
29117,Livingston County,15076
29101,Johnson County,53689
29123,Madison County,12205
29125,Maries County,8884
29109,Lawrence County,38133
29179,Reynolds County,6315
29043,Christian County,84275
29119,McDonald County,22827
29005,Atchison County,5270
29019,Boone County,176515
29081,Harrison County,8554
29067,Douglas County,13374
29225,Webster County,38082
29093,Iron County,10221
29079,Grundy County,10039
29163,Pike County,18489
29201,Scott County,38729
29209,Stone County,31527
29089,Howard County,10113
29221,Washington County,24931
29131,Miller County,25049
29021,Buchanan County,89076
29051,Cole County,76740
29173,Ralls County,10217
29003,Andrew County,17403
29139,Montgomery County,11545
29153,Ozark County,9236
29127,Marion County,28672
29177,Ray County,22825
29023,Butler County,42733
29105,Laclede County,35507
29195,Saline County,23102
29071,Franklin County,102781
29041,Chariton County,7546
29223,Wayne County,13308
29039,Cedar County,13938
29017,Bollinger County,12281
29175,Randolph County,24945
29149,Oregon County,10699
29059,Dallas County,16499
29151,Osage County,13619
29073,Gasconade County,14746
29183,St. Charles County,389985
29087,Holt County,4456
29055,Crawford County,24280
29107,Lafayette County,32589
29186,Ste. Genevieve County,17871
29045,Clark County,6800
29227,Worth County,2040
29161,Phelps County,44789
29085,Hickory County,9368
29009,Barry County,35493
29167,Polk County,31549
29025,Caldwell County,9049
29111,Lewis County,10027
29181,Ripley County,13693
29219,Warren County,33908
29207,Stoddard County,29512
29169,Pulaski County,52591
29075,Gentry County,6665
29001,Adair County,25325
29189,St. Louis County,998684
29229,Wright County,18293
29007,Audrain County,25735
29053,Cooper County,17622
29211,Sullivan County,6317
29147,Nodaway County,22547
29213,Taney County,54720
29115,Linn County,12186
29135,Moniteau County,15958
29027,Callaway County,44840
29099,Jefferson County,223302
29113,Lincoln County,55563
29215,Texas County,25671
29141,Morgan County,20137
29077,Greene County,288429
29035,Carter County,6197
29031,Cape Girardeau County,78324
29133,Mississippi County,13748
29197,Schuyler County,4502
29091,Howell County,40102
29121,Macon County,15254
29061,Daviess County,8302
29205,Shelby County,6061
29203,Shannon County,8246
29157,Perry County,19146
29057,Dade County,7590
29199,Scotland County,4898
29171,Putnam County,4815
29187,St. Francois County,66342
29049,Clinton County,20475
29033,Carroll County,8843
29217,Vernon County,20691
29015,Benton County,18989
29065,Dent County,15504
29185,St. Clair County,9383
29129,Mercer County,3664
29159,Pettis County,42371
29063,DeKalb County,12564
29069,Dunklin County,30428
29137,Monroe County,8654
29155,Pemiscot County,17031
29510,St. Louis city,311273
29013,Bates County,16374
29143,New Madrid County,17811
29029,Camden County,45096
29097,Jasper County,76186
29512,Joplin,50073
29145,Newton County,51181
29037,Cass County,102542
29047,Clay County,116613
29095,Jackson County,380899
29511,Kansas City,481417
29165,Platte County,51198
