day,report_date,state,last_update,confirmed_avg
1,2020-03-15,Illinois,2020-04-12 00:00:01,12.428571428571429
2,2020-03-16,Illinois,2020-04-12 00:00:01,13.285714285714286
3,2020-03-17,Illinois,2020-04-12 00:00:01,20
4,2020-03-18,Illinois,2020-04-12 00:00:01,37.285714285714285
5,2020-03-19,Illinois,2020-04-12 00:00:01,55.42857142857143
6,2020-03-20,Illinois,2020-04-12 00:00:01,76.71428571428571
7,2020-03-21,Illinois,2020-04-12 00:00:01,97.85714285714286
8,2020-03-22,Illinois,2020-04-12 00:00:01,136.14285714285714
9,2020-03-23,Illinois,2020-04-12 00:00:01,160.42857142857142
10,2020-03-24,Illinois,2020-04-12 00:00:01,196.28571428571428
11,2020-03-25,Illinois,2020-04-12 00:00:01,227
12,2020-03-26,Illinois,2020-04-12 00:00:01,302.57142857142856
13,2020-03-27,Illinois,2020-04-12 00:00:01,349.42857142857144
14,2020-03-28,Illinois,2020-04-12 00:00:01,399
15,2020-03-29,Illinois,2020-04-12 00:00:01,509.7142857142857
16,2020-03-30,Illinois,2020-04-12 00:00:01,548.5714285714286
17,2020-03-31,Illinois,2020-04-12 00:00:01,636.4285714285714
18,2020-04-01,Illinois,2020-04-12 00:00:01,727
19,2020-04-02,Illinois,2020-04-12 00:00:01,732.7142857142857
20,2020-04-03,Illinois,2020-04-12 00:00:01,833.5714285714286
21,2020-04-04,Illinois,2020-04-12 00:00:01,971.1428571428571
22,2020-04-05,Illinois,2020-04-12 00:00:01,944.8571428571429
23,2020-04-06,Illinois,2020-04-12 00:00:01,1019
24,2020-04-07,Illinois,2020-04-12 00:00:01,1075.2857142857142
25,2020-04-08,Illinois,2020-04-12 00:00:01,1150.4285714285713
26,2020-04-09,Illinois,2020-04-12 00:00:01,1242.4285714285713
27,2020-04-10,Illinois,2020-04-12 00:00:01,1278.142857142857
28,2020-04-11,Illinois,2020-04-12 00:00:01,1250.857142857143
29,2020-04-12,Illinois,2020-04-12 00:00:01,1357.4285714285713
1,2020-03-23,Kansas,2020-04-12 00:00:01,10.142857142857142
2,2020-03-24,Kansas,2020-04-12 00:00:01,12.142857142857142
3,2020-03-25,Kansas,2020-04-12 00:00:01,16
4,2020-03-26,Kansas,2020-04-12 00:00:01,19.714285714285715
5,2020-03-27,Kansas,2020-04-12 00:00:01,23.428571428571427
6,2020-03-28,Kansas,2020-04-12 00:00:01,30.714285714285715
7,2020-03-29,Kansas,2020-04-12 00:00:01,38.142857142857146
8,2020-03-30,Kansas,2020-04-12 00:00:01,41.714285714285715
9,2020-03-31,Kansas,2020-04-12 00:00:01,47.57142857142857
10,2020-04-01,Kansas,2020-04-12 00:00:01,50.714285714285715
11,2020-04-02,Kansas,2020-04-12 00:00:01,54.42857142857143
12,2020-04-03,Kansas,2020-04-12 00:00:01,58.857142857142854
13,2020-04-04,Kansas,2020-04-12 00:00:01,61.285714285714285
14,2020-04-05,Kansas,2020-04-12 00:00:01,61.714285714285715
15,2020-04-06,Kansas,2020-04-12 00:00:01,68.42857142857143
16,2020-04-07,Kansas,2020-04-12 00:00:01,67.14285714285714
17,2020-04-08,Kansas,2020-04-12 00:00:01,80.85714285714286
18,2020-04-09,Kansas,2020-04-12 00:00:01,80.28571428571429
19,2020-04-10,Kansas,2020-04-12 00:00:01,79.28571428571429
20,2020-04-11,Kansas,2020-04-12 00:00:01,83.14285714285714
21,2020-04-12,Kansas,2020-04-12 00:00:01,82.71428571428571
1,2020-03-21,Missouri,2020-04-12 00:00:01,12.428571428571429
2,2020-03-22,Missouri,2020-04-12 00:00:01,17.714285714285715
3,2020-03-23,Missouri,2020-04-12 00:00:01,24.714285714285715
4,2020-03-24,Missouri,2020-04-12 00:00:01,28.428571428571427
5,2020-03-25,Missouri,2020-04-12 00:00:01,51.285714285714285
6,2020-03-26,Missouri,2020-04-12 00:00:01,67.57142857142857
7,2020-03-27,Missouri,2020-04-12 00:00:01,85.28571428571429
8,2020-03-28,Missouri,2020-04-12 00:00:01,106.14285714285714
9,2020-03-29,Missouri,2020-04-12 00:00:01,109.71428571428571
10,2020-03-30,Missouri,2020-04-12 00:00:01,122.42857142857143
11,2020-03-31,Missouri,2020-04-12 00:00:01,162.14285714285714
12,2020-04-01,Missouri,2020-04-12 00:00:01,149.71428571428572
13,2020-04-02,Missouri,2020-04-12 00:00:01,189.14285714285714
14,2020-04-03,Missouri,2020-04-12 00:00:01,205.85714285714286
15,2020-04-04,Missouri,2020-04-12 00:00:01,206.71428571428572
16,2020-04-05,Missouri,2020-04-12 00:00:01,209.71428571428572
17,2020-04-06,Missouri,2020-04-12 00:00:01,240
18,2020-04-07,Missouri,2020-04-12 00:00:01,240.42857142857142
19,2020-04-08,Missouri,2020-04-12 00:00:01,270.85714285714283
20,2020-04-09,Missouri,2020-04-12 00:00:01,243.57142857142858
21,2020-04-10,Missouri,2020-04-12 00:00:01,240.57142857142858
22,2020-04-11,Missouri,2020-04-12 00:00:01,248.28571428571428
23,2020-04-12,Missouri,2020-04-12 00:00:01,272
